"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",48,"3.2%","1.7%","4.9%","35%","56%",131,157,174,1.9,"60.0%","23.6%","2%",-131,29,-3.7,8.3,"25.1%",509,"24.7%","22.5%",0.39,0.19
"Ahri","Middle",292,"19.5%","12.7%","32.1%","50%","50%",901,545,1764,4.9,"71.4%","15.0%","8%",60,11,1,8.5,"25.0%",532,"25.7%","22.8%",0.49,0.31
"Akali","Middle",146,"9.7%","13.5%","23.5%","39%","63%",566,356,487,3,"63.4%","20.0%","5%",-63,74,-0.3,8.2,"24.8%",486,"23.9%","23.2%",0.24,0.21
"Akali","Top",4,"0.3%","13.5%","23.5%","25%","100%",11,16,16,1.7,"54.0%","18.2%","0%",108,300,-1.5,8,"26.7%",395,"19.8%","22.6%",0.31,0.28
"Akshan","-",0,"0%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Alistar","Support",139,"9.3%","7.7%","16.9%","49%","65%",81,453,1225,2.9,"71.4%","24.7%","19%",-5,-32,0.2,1,"1.9%",130,"6.2%","8.8%",1.72,0.3
"Amumu","Jungle",6,"0.4%","0.1%","0.7%","83%","100%",12,19,55,3.5,"74.4%","29.7%","50%",212,144,1.4,5.8,"17.5%",337,"15.7%","17.6%",0.24,0.36
"Amumu","Support",4,"0.3%","0.1%","0.7%","50%","100%",2,14,25,1.9,"69.2%","31.8%","0%",-164,-111,-0.8,1.1,"2.7%",127,"6.2%","7.9%",1.76,0.36
"Anivia","Middle",1,"0.1%","0.0%","0.1%","0%","100%",3,4,2,1.3,"62.5%","20.0%","100%",-24,284,15,8.3,"26.2%",524,"26.6%","24.0%",0.48,0.2
"Annie","Middle",285,"19.0%","28.0%","50.8%","52%","39%",682,714,1910,3.6,"71.2%","20.9%","5%",28,13,0.5,7.5,"20.3%",542,"25.8%","21.2%",0.32,0.21
"Annie","Support",57,"3.8%","28.0%","50.8%","56%","32%",56,141,494,3.9,"78.0%","22.1%","7%",-74,-169,-6.8,0.7,"2.6%",227,"10.8%","9.8%",0.99,0.43
"Aphelios","ADC",520,"34.6%","10.2%","44.8%","48%","43%",1966,1245,2098,3.3,"66.5%","18.8%","7%",23,-34,1.5,9.8,"33.1%",605,"28.6%","27.7%",0.41,0.37
"Ashe","ADC",73,"4.9%","26.6%","38.7%","38%","67%",224,193,438,3.4,"72.0%","18.8%","16%",76,47,1,8.8,"27.3%",542,"23.6%","24.3%",0.41,0.37
"Ashe","Support",109,"7.3%","26.6%","38.7%","49%","22%",85,294,907,3.4,"73.2%","20.3%","11%",110,42,-6.4,1.1,"4.2%",355,"15.2%","10.6%",2.04,0.68
"Aurelion Sol","Middle",20,"1.3%","1.5%","2.9%","40%","65%",96,33,87,5.5,"78.5%","12.0%","5%",-187,-196,-9.2,9.5,"30.2%",673,"32.4%","26.9%",0.45,0.19
"Azir","Middle",381,"25.4%","16.8%","42.3%","49%","46%",1132,904,1812,3.3,"67.6%","19.6%","13%",-12,56,1.2,9,"26.9%",631,"29.4%","24.2%",0.41,0.26
"Azir","Support",1,"0.1%","16.8%","42.3%","0%","100%",0,5,3,0.6,"37.5%","20.0%","0%",92,-282,-5,0.7,"2.6%",280,"13.7%","8.5%",1.5,0.49
"Azir","Top",1,"0.1%","16.8%","42.3%","0%","0%",0,4,1,0.3,"10.0%","26.7%","0%",-405,-715,-6,7.5,"21.0%",338,"19.2%","16.7%",0,0.1
"Bel'Veth","Jungle",2,"0.1%","0.1%","0.2%","100%","50%",11,3,11,7.3,"75.9%","21.4%","-","-","-","-",8.1,"-",479,"21.5%","25.7%",0.24,0.37
"Blitzcrank","Support",78,"5.2%","6.3%","11.5%","58%","94%",71,258,632,2.7,"60.9%","26.2%","12%",-104,-129,0.6,1.1,"2.1%",167,"7.7%","9.0%",1.73,0.32
"Braum","Support",102,"6.8%","4.1%","10.9%","45%","78%",48,321,875,2.9,"77.0%","23.0%","12%",-39,25,0.9,1.1,"2.0%",157,"7.4%","8.8%",1.62,0.31
"Caitlyn","ADC",82,"5.5%","21.5%","27.8%","57%","29%",314,137,327,4.7,"65.7%","15.5%","21%",222,45,6,9.6,"31.0%",561,"25.7%","26.9%",0.31,0.39
"Caitlyn","Support",13,"0.9%","21.5%","27.8%","54%","69%",20,38,87,2.8,"60.1%","20.5%","23%",483,2,-0.4,1.6,"7.0%",393,"15.6%","14.6%",1.59,0.98
"Camille","Top",45,"3.0%","2.0%","5.0%","49%","78%",138,128,176,2.5,"53.0%","21.9%","11%",-12,-9,-4.7,8.1,"24.6%",458,"21.1%","23.5%",0.29,0.19
"Cassiopeia","Middle",28,"1.9%","2.9%","4.8%","43%","82%",64,63,123,3,"61.5%","18.5%","11%",-36,-90,-0.2,8.6,"24.2%",470,"23.2%","23.1%",0.44,0.2
"Cho'Gath","ADC",2,"0.1%","0.5%","1.6%","50%","100%",5,5,2,1.4,"50.0%","14.3%","0%",-44,316,12,8.6,"28.3%",343,"17.5%","23.7%",0.39,0.16
"Cho'Gath","Top",15,"1.0%","0.5%","1.6%","47%","87%",29,44,59,2,"55.3%","21.2%","13%",-79,-101,0.5,7.4,"20.4%",461,"20.9%","21.6%",0.41,0.16
"Corki","Middle",8,"0.5%","0.1%","0.6%","63%","100%",25,14,39,4.6,"58.7%","15.9%","0%",99,-134,0.6,9.5,"29.7%",735,"31.9%","26.3%",0.4,0.28
"Darius","Top",10,"0.7%","0.5%","1.1%","50%","90%",41,27,30,2.6,"58.2%","22.0%","10%",-257,-460,-18,7.9,"27.3%",430,"21.1%","23.6%",0.28,0.2
"Diana","Jungle",3,"0.2%","0.1%","0.3%","0%","100%",7,11,9,1.5,"76.2%","22.0%","0%",-249,-183,-11,6.6,"18.8%",389,"23.4%","20.5%",0.3,0.29
"Draven","ADC",91,"6.1%","9.7%","15.7%","47%","74%",351,208,363,3.4,"65.2%","17.9%","8%",-1,-19,0.8,9.2,"30.4%",509,"25.0%","28.6%",0.34,0.29
"Elise","Jungle",102,"6.8%","25.6%","32.4%","54%","39%",240,244,553,3.3,"66.0%","21.1%","27%",124,-68,-2.1,5.3,"15.6%",408,"18.2%","17.6%",0.69,0.54
"Ezreal","ADC",86,"5.7%","2.0%","7.8%","45%","91%",307,168,358,4,"66.4%","15.2%","15%",-23,22,-0.9,9.6,"31.5%",694,"30.6%","26.5%",0.33,0.3
"Ezreal","Middle",1,"0.1%","2.0%","7.8%","0%","100%",0,2,2,1,"50.0%","11.1%","0%",-159,-367,-8,9.9,"31.9%",646,"28.4%","24.6%",0.55,0.19
"Fiora","Top",109,"7.3%","13.1%","20.4%","50%","71%",290,214,311,2.8,"47.4%","16.1%","8%",4,-37,1.3,9.1,"29.1%",502,"23.3%","24.9%",0.32,0.21
"Galio","Middle",31,"2.1%","2.9%","5.2%","45%","81%",59,81,203,3.2,"68.4%","20.4%","6%",-242,-105,-4.8,7.5,"23.9%",374,"18.8%","19.6%",0.32,0.19
"Galio","Support",4,"0.3%","2.9%","5.2%","50%","100%",1,14,39,2.9,"83.3%","24.6%","0%",22,150,2.5,1.2,"3.2%",218,"9.7%","8.6%",1.73,0.24
"Gangplank","Top",26,"1.7%","0.6%","2.3%","62%","92%",77,74,147,3,"63.3%","25.3%","23%",-10,-34,-5.2,8.6,"27.7%",701,"30.9%","26.9%",0.36,0.1
"Garen","Top",1,"0.1%","0.1%","0.2%","100%","100%",6,0,4,10,"52.6%","0.0%","0%",399,20,2,9.2,"27.0%",465,"18.5%","26.1%",0.28,0.3
"Gnar","Top",229,"15.3%","11.9%","27.2%","50%","69%",434,601,907,2.2,"52.0%","21.6%","7%",-98,25,-0.8,8.7,"25.9%",510,"24.2%","23.5%",0.35,0.2
"Gragas","Jungle",24,"1.6%","9.5%","26.8%","29%","67%",52,91,136,2.1,"60.6%","23.3%","8%",-117,-112,-2.7,5.6,"17.2%",469,"18.9%","17.0%",0.47,0.31
"Gragas","Middle",73,"4.9%","9.5%","26.8%","42%","56%",124,187,406,2.8,"61.8%","19.7%","10%",-98,29,-2,7.7,"22.1%",451,"22.6%","19.9%",0.31,0.23
"Gragas","Support",1,"0.1%","9.5%","26.8%","100%","100%",1,2,8,4.5,"52.9%","18.2%","0%",-248,-3,-1,1.2,"2.3%",248,"9.5%","9.6%",1.83,0.35
"Gragas","Top",162,"10.8%","9.5%","26.8%","54%","58%",223,314,809,3.3,"53.0%","18.2%","6%",-100,19,-3.5,7.7,"22.6%",471,"22.7%","20.0%",0.34,0.16
"Graves","Jungle",16,"1.1%","0.8%","2.1%","31%","100%",53,45,85,3.1,"78.0%","18.4%","19%",31,10,-0.6,7,"23.5%",438,"20.1%","23.4%",0.68,0.66
"Graves","Middle",3,"0.2%","0.8%","2.1%","67%","100%",11,9,16,3,"56.3%","31.0%","67%",264,-19,-8.7,8.4,"24.1%",489,"22.3%","21.3%",0.46,0.2
"Gwen","Top",107,"7.1%","12.3%","19.5%","50%","86%",271,270,414,2.5,"53.8%","20.6%","3%",-40,-51,1.9,8.9,"26.8%",563,"26.4%","23.7%",0.35,0.22
"Heimerdinger","Support",128,"8.5%","4.8%","13.3%","50%","48%",129,317,800,2.9,"61.2%","21.5%","11%",175,-103,-4.3,1,"3.8%",338,"15.1%","10.4%",1.43,0.51
"Illaoi","Top",4,"0.3%","0.3%","0.6%","25%","100%",6,22,12,0.8,"47.4%","29.7%","0%",36,-308,2.7,7.7,"21.4%",621,"30.0%","22.2%",0.4,0.11
"Irelia","Middle",12,"0.8%","1.5%","3.3%","42%","83%",38,49,51,1.8,"55.3%","27.7%","25%",273,53,7.8,9.4,"29.2%",508,"20.8%","24.0%",0.3,0.23
"Irelia","Top",14,"0.9%","1.5%","3.3%","36%","86%",42,48,31,1.5,"52.5%","26.1%","14%",58,-37,0.3,9,"28.1%",400,"21.9%","25.7%",0.29,0.13
"Ivern","Jungle",50,"3.3%","7.6%","10.9%","54%","62%",59,81,466,6.5,"81.0%","13.8%","18%",-113,41,-0.9,4.9,"12.3%",219,"9.9%","16.3%",0.37,0.37
"Janna","Support",5,"0.3%","0.3%","0.6%","40%","80%",2,9,27,3.2,"72.5%","16.4%","0%",-713,-499,11,0.8,"7.7%",120,"5.9%","9.2%",2.24,0.44
"Jarvan IV","Jungle",15,"1.0%","0.7%","2.0%","40%","67%",30,64,148,2.8,"90.4%","28.3%","13%",4,39,-0.3,4.7,"14.0%",295,"12.8%","16.9%",0.38,0.44
"Jarvan IV","Support",3,"0.2%","0.7%","2.0%","100%","100%",3,9,38,4.6,"70.7%","32.1%","33%",-2,-56,-1.7,0.7,"2.2%",217,"8.8%","10.1%",1.64,0.53
"Jarvan IV","Top",2,"0.1%","0.7%","2.0%","0%","100%",2,11,5,0.6,"41.2%","25.6%","0%",-335,-60,-10,7.2,"16.8%",374,"21.6%","18.4%",0.33,0.24
"Jax","Jungle",2,"0.1%","34.6%","59.1%","0%","50%",3,7,5,1.1,"53.3%","28.0%","50%",-333,-486,-13,5.4,"19.1%",260,"14.4%","17.5%",0.49,0.21
"Jax","Top",365,"24.3%","34.6%","59.1%","52%","33%",1029,895,1322,2.6,"51.2%","19.9%","12%",-56,-92,-2,8.4,"26.0%",469,"22.2%","23.3%",0.42,0.16
"Jayce","Middle",271,"18.1%","32.0%","55.8%","55%","37%",1132,629,1356,4,"71.6%","19.1%","7%",-36,-89,-1.7,8.8,"26.1%",693,"28.8%","25.1%",0.42,0.3
"Jayce","Top",87,"5.8%","32.0%","55.8%","46%","32%",224,280,379,2.2,"59.4%","24.2%","14%",87,-53,6.1,8.7,"27.3%",678,"29.3%","24.5%",0.43,0.22
"Jhin","ADC",62,"4.1%","0.9%","5.5%","39%","90%",205,96,329,5.6,"68.3%","11.9%","13%",-233,-104,-6.8,8.8,"29.5%",525,"22.0%","24.6%",0.37,0.24
"Jhin","Support",8,"0.5%","0.9%","5.5%","75%","75%",16,10,62,7.8,"73.6%","11.2%","0%",51,-86,-2,1.5,"6.0%",279,"12.5%","11.9%",1.95,0.86
"Jinx","ADC",174,"11.6%","3.5%","15.1%","47%","78%",657,411,786,3.5,"72.6%","19.3%","8%",11,-72,-1.5,9.9,"34.9%",607,"29.6%","28.2%",0.4,0.36
"K'Sante","Middle",31,"2.1%","25.2%","70.1%","52%","39%",68,65,135,3.1,"58.8%","17.2%","10%",83,72,1.9,7.7,"21.2%",284,"14.5%","20.3%",0.38,0.26
"K'Sante","Top",643,"42.8%","25.2%","70.1%","50%","37%",1417,1459,3073,3.1,"56.4%","18.7%","8%",-32,-24,-1.5,7.9,"23.0%",406,"19.1%","21.2%",0.38,0.16
"Kai'Sa","ADC",279,"18.6%","12.2%","31.4%","56%","20%",1499,574,1374,5,"72.9%","16.6%","15%",-91,-29,-2.1,10,"32.5%",684,"30.0%","27.8%",0.58,0.37
"Kai'Sa","Middle",10,"0.7%","12.2%","31.4%","30%","80%",50,32,26,2.4,"73.1%","19.8%","0%",-555,-410,-7.3,9.1,"29.8%",816,"36.6%","27.2%",0.47,0.22
"Kalista","ADC",16,"1.1%","1.9%","3.6%","50%","63%",67,34,70,4,"62.8%","16.0%","6%",42,72,3.7,9,"29.8%",376,"17.8%","25.9%",0.38,0.35
"Kalista","Support",10,"0.7%","1.9%","3.6%","60%","80%",21,28,72,3.3,"68.9%","24.8%","30%",385,387,0.7,1.2,"4.7%",302,"13.0%","13.0%",1.66,0.74
"Karma","Middle",3,"0.2%","5.6%","12.7%","0%","33%",5,8,13,2.3,"78.3%","18.6%","0%",195,132,4,7.5,"21.4%",407,"23.0%","21.1%",0.52,0.27
"Karma","Support",104,"6.9%","5.6%","12.7%","38%","55%",63,260,725,3,"72.2%","20.7%","19%",20,57,-0.4,0.8,"2.8%",223,"10.7%","9.5%",1.18,0.46
"Kassadin","Middle",45,"3.0%","14.2%","17.2%","58%","71%",188,85,209,4.7,"68.4%","16.1%","9%",-247,-121,-5.9,9,"28.5%",575,"26.4%","24.8%",0.28,0.27
"Kayle","Top",2,"0.1%","0.0%","0.1%","0%","100%",4,8,5,1.1,"56.3%","21.1%","50%",-286,-173,-16,9.5,"33.9%",471,"29.4%","28.7%",0.44,0.18
"Kennen","Top",97,"6.5%","8.8%","15.3%","49%","56%",277,327,441,2.2,"55.4%","26.0%","5%",442,342,15.8,8.2,"24.7%",619,"28.8%","22.9%",0.36,0.18
"Kha'Zix","Jungle",79,"5.3%","2.6%","7.9%","53%","78%",280,182,345,3.4,"67.3%","18.8%","13%",89,63,1.5,6.9,"20.0%",410,"18.7%","22.2%",1.1,0.78
"Kindred","Jungle",37,"2.5%","10.5%","12.9%","54%","65%",139,85,203,4,"72.0%","20.6%","14%",221,257,5.8,7,"22.1%",493,"21.7%","22.0%",0.4,0.55
"Kog'Maw","ADC",7,"0.5%","0.1%","0.5%","43%","86%",19,18,36,3.1,"73.3%","20.5%","0%",23,203,7.3,9.2,"28.2%",701,"29.3%","25.8%",0.42,0.46
"LeBlanc","Middle",174,"11.6%","36.0%","47.8%","48%","43%",581,300,777,4.5,"62.7%","13.4%","13%",77,86,2.8,9.2,"27.4%",688,"30.9%","24.9%",0.38,0.34
"LeBlanc","Top",4,"0.3%","36.0%","47.8%","25%","25%",19,14,12,2.2,"59.6%","20.9%","25%",786,506,23.5,8.6,"28.6%",817,"34.2%","27.4%",0.36,0.26
"Lee Sin","Jungle",171,"11.4%","13.9%","25.5%","55%","56%",521,442,1064,3.6,"74.4%","22.0%","18%",115,8,0.3,5.6,"16.2%",302,"14.2%","18.6%",0.54,0.33
"Lee Sin","Middle",1,"0.1%","13.9%","25.5%","100%","100%",3,0,3,6,"50.0%","-","-","-","-","-",9.4,"-",464,"19.0%","20.2%",0.54,0.21
"Lee Sin","Top",2,"0.1%","13.9%","25.5%","50%","100%",1,6,9,1.7,"55.6%","35.3%","0%",13,-204,-3.5,8.5,"25.8%",357,"20.6%","20.6%",0.22,0.21
"Leona","Support",113,"7.5%","2.1%","9.6%","55%","68%",73,408,965,2.5,"64.5%","27.5%","13%",-21,-3,3.3,1.2,"2.8%",109,"5.0%","9.0%",1.64,0.46
"Lillia","Jungle",12,"0.8%","0.5%","1.3%","67%","83%",42,20,75,5.9,"76.0%","13.1%","25%",328,252,6.4,6.8,"20.5%",564,"23.2%","20.8%",0.3,0.39
"Lillia","Top",1,"0.1%","0.5%","1.3%","0%","100%",3,4,6,2.3,"69.2%","23.5%","-","-","-","-",9.2,"-",771,"33.8%","24.8%",0,0.11
"Lissandra","Middle",42,"2.8%","3.5%","6.3%","43%","95%",99,128,303,3.1,"69.7%","22.5%","19%",103,-105,0.6,8.1,"24.1%",427,"21.8%","20.7%",0.33,0.25
"Lucian","ADC",238,"15.9%","28.5%","44.5%","50%","52%",868,520,935,3.5,"68.6%","20.2%","13%",90,71,1.6,9.3,"31.0%",662,"30.3%","27.4%",0.39,0.39
"Lucian","Middle",2,"0.1%","28.5%","44.5%","50%","100%",11,7,15,3.7,"89.7%","28.0%","50%",133,59,-3.5,7.9,"26.1%",684,"28.8%","26.1%",0.51,0.35
"Lulu","Support",294,"19.6%","9.7%","29.3%","47%","62%",124,548,2410,4.6,"80.2%","16.7%","12%",-54,-95,-1.2,0.7,"2.0%",119,"6.1%","9.1%",1.36,0.33
"Lux","Support",52,"3.5%","0.3%","3.8%","58%","60%",55,142,388,3.1,"74.2%","25.5%","23%",53,2,-3.4,0.8,"3.6%",301,"14.2%","10.2%",1.12,0.4
"Malphite","Top",61,"4.1%","4.5%","8.6%","38%","87%",80,156,317,2.5,"58.7%","18.2%","5%",-207,-130,-9.1,7.7,"22.9%",419,"22.0%","20.3%",0.41,0.19
"Maokai","Jungle",410,"27.3%","33.2%","61.8%","58%","34%",692,1059,3183,3.7,"74.5%","21.6%","17%",-57,-52,-0.9,5,"13.1%",464,"19.5%","16.8%",0.32,0.34
"Maokai","Support",17,"1.1%","33.2%","61.8%","53%","35%",20,51,126,2.9,"71.6%","24.4%","6%",20,11,0.2,1.4,"3.5%",242,"12.1%","9.7%",1.52,0.41
"Maokai","Top",2,"0.1%","33.2%","61.8%","50%","50%",1,6,16,2.8,"65.4%","25.0%","50%",-497,-479,-25,7.1,"21.5%",410,"19.4%","19.2%",0.4,0.04
"Milio","Support",119,"7.9%","21.1%","29.0%","53%","19%",37,180,992,5.7,"81.0%","14.7%","11%",-8,-78,0.9,0.9,"1.8%",63,"3.2%","9.2%",1.55,0.31
"Miss Fortune","ADC",2,"0.1%","0.3%","0.8%","0%","50%",6,9,7,1.4,"61.9%","25.0%","0%",173,321,15.5,9.3,"33.0%",617,"30.7%","27.7%",0.25,0.36
"Miss Fortune","Support",6,"0.4%","0.3%","0.8%","67%","100%",9,13,40,3.8,"58.3%","17.8%","-","-","-","-",1.4,"-",624,"23.6%","12.0%",1.97,0.58
"Mordekaiser","Top",4,"0.3%","0.1%","0.4%","75%","75%",12,9,18,3.3,"49.2%","24.3%","-","-","-","-",7.7,"-",553,"25.5%","20.3%",0.28,0.08
"Morgana","Support",2,"0.1%","0.0%","0.1%","0%","100%",0,4,4,1,"80.0%","13.8%","0%",217,-194,-10,0.4,"1.5%",176,"11.7%","8.2%",1.75,0.31
"Nami","Support",230,"15.3%","0.3%","15.7%","48%","34%",130,427,1913,4.8,"82.1%","16.7%","15%",-53,8,-2.7,0.5,"1.7%",165,"7.8%","9.1%",1.26,0.31
